Qty,Value,Device,Package,Parts,Description,DISTRELEC,DIV,Preis,PE
1,*,JP2E,JP2,JP2,JUMPER,,,,
2,*,LEDCHIP-LED0805,CHIP-LED0805,"L, LED2",LED,,,,
1,1K,R-EU_R0805,R0805,R3,RESISISTOR,,,,
1,*,S08P,S08P,SV1,AMP MT CONNECTOR,,,,
1,*,REG1117,SOT223,IC1,800mA and 1A Low Dropout (LDO) Positive Regulator,300-41-532,,0.67,3Stk
1,3.3v,R-EU_R0805,R0805,R2,RESISTOR,,,,
2,100nF,C-EUC0805,C0805,"C1, C2",CAPACITOR,167-73-261,,0.009,250 Stk.
1,100uF,C-EUC1206,C1206,C4,CAPACITOR,167-70-804,,0.9,5 Stk.
1,10uF,C-EUC1206,C1206,C3,CAPACITOR,167-73-261,,0.33,10Stk
1,1K,R-EU_R0805,R0805,R1,RESISTOR,,,,
3,B0520,DIODE-MELF-MLL41,MELF-MLL41 (DO-213AB),"D1, D2, D3",DIODE,170-02-497,,0.22,10Stk
1,CH330N,CH330N,SOIC8,U$3,UART / USB Converter,,ALIEXPRESS,,
1,ISP-FPC-RX,FEMALE CONNECTOR,ISP-FPC-RX,U$1,FPC CONNECTOR 8 PIN,300-48-813,,0.8,3Stk
1,,FEMALE CONNECTOR,ISP_WANNENSTECKER,U$2,ISP CONNECTOR,143-65-375,,1.05,3Stk
1,MICRO_USB_B,MICRO_USB_B,MICRO_USB_B,U$4,USB CONNECTOR TYPE B,,ALIEXPRESS,,
,,,,,,,,,
,,Flex kabel,,,,,ALIEXPRESS,,
